"","X","ID","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","PBH_actual","PDE_actual","BA_actual","MC_actual","Intent_actual","MG_actual","Agent","RT","MJ","keys","Gender","Gender.quant","Age","Nationality","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_variants","variants_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"1995",1995,14609707,"Main Stimuli F_YES (Latin Square) ",17,"intentional homicide","trolley","Intentional_Homicide_Trolley","Yes","No","yes","yes","no","No","Human",2478.59999998212,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","intentional homicide","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"1996",1996,14609707,"Main Stimuli F_YES (Latin Square) ",18,"ExpensiveRescue","crane","Expensive_Rescue_Crane","No","Yes","yes","yes","yes","Yes","AI",459.999999994034,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","ExpensiveRescueCrane","Expensive_Rescue","No","No","No","No","No","Yes"
"1997",1997,14609707,"Main Stimuli F_YES (Latin Square) ",19,"Unprohibted_BetterAlternative_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Disproportionate_Cost_Trolley","No","No","no","no","yes","Yes","AI",1378.39999999999,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibted_BetterAlternative_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Disproportionate_Cost","No","Yes","No","Yes","Yes","Yes"
"1998",1998,14609707,"Main Stimuli F_YES (Latin Square) ",20,"implied consent","trolley","Implied_Consent_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",2336.79999999404,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","implied consent","Implied_Consent","Yes","No","No","No","No","Yes"
"1999",1999,14609707,"Main Stimuli F_YES (Latin Square) ",21,"EfficientRisk","trolley","Efficient_Risk_Trolley","No","Yes","yes","yes","yes","Yes","Human",3985.39999999404,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","EfficientRisk","Efficient_Risk","No","No","No","No","No","Yes"
"2000",2000,14609707,"Main Stimuli F_YES (Latin Square) ",22,"bystander","trolley","Bystander_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",389.199999999983,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","bystander","Bystander","Yes","No","No","No","No","Yes"
"2001",2001,14609707,"Main Stimuli F_YES (Latin Square) ",23,"DropEquipment","Crane","Drop_Equipment_Crane","No","No","yes","yes","yes","Yes","Human",3145.89999999404,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","DropEquipmentCraneHang","Drop_Equipment","No","No","No","No","No","Yes"
"2002",2002,14609707,"Main Stimuli F_YES (Latin Square) ",24,"ExpensiveCollapse","trolley","Expensive_Collapse_Trolley","No","Yes","yes","yes","yes","Yes","AI",1204.69999999405,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","ExpensiveCollapse","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"2003",2003,14609707,"Main Stimuli F_YES (Latin Square) ",25,"Unprohibted_BetterAlternative_","crane","Unprohibited_Better_Alternative_Crane","No","No","no","yes","yes","Yes","AI",420.299999999988,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibted_BetterAlternative_Crane","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"2004",2004,14609707,"Main Stimuli F_YES (Latin Square) ",26,"intentional homicide","crane","Intentional_Homicide_Crane","Yes","No","yes","yes","no","No","Human",426.899999999994,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","intentional homicideCrane","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"2005",2005,14609707,"Main Stimuli F_YES (Latin Square) ",27,"SubstitutedConsent","trolley","Substituted_Consent_Trolley","Yes","No","yes","yes","no","No","AI",1589.19999999405,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","SubstitutedConsent","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2006",2006,14609707,"Main Stimuli F_YES (Latin Square) ",28,"DropEquipment","crane","Drop_Equipment_Crane","No","No","yes","yes","no","Yes","Human",2880.39999997616,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","DropEquipmentCrane","Drop_Equipment","No","No","No","No","No","Yes"
"2007",2007,14609707,"Main Stimuli F_YES (Latin Square) ",29,"BystanderPHA&O","trolley","Bystander_PHA_PHO_Trolley","Yes","No","yes","yes","no","No","AI",1949.09999998807,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","BystanderPHA&O","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"2008",2008,14609707,"Main Stimuli F_YES (Latin Square) ",30,"collapse bridge","crane","Collapse_Bridge_Crane","Yes","Yes","yes","yes","yes","Yes","AI",2340,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","collapse bridgeCrane","Collapse_Bridge","Yes","No","No","No","No","Yes"
"2009",2009,14609707,"Main Stimuli F_YES (Latin Square) ",31,"OmissionBystanderPHO","trolley","Omission_Bystander_PHO_Trolley","No","No","yes","no","yes","Yes","AI",6725.70000000001,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","OmissionBystanderPHOTrolley","Omission_Bystander_PHO","Yes","Yes","Yes","Yes","Yes","No"
"2010",2010,14609707,"Main Stimuli F_YES (Latin Square) ",32,"disproportionate death","trolley","Disproportionate_Death_Trolley","Yes","No","no","no","yes","No","AI",3827.69999998211,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","disproportionate death","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"2011",2011,14609707,"Main Stimuli F_YES (Latin Square) ",33,"drop man","Crane","Drop_Man_Crane","Yes","No","yes","yes","no","No","AI",4356.79999997615,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","DropManCraneHang","Drop_Man","Yes","Yes","Yes","No","No","No"
"2012",2012,14609707,"Main Stimuli F_YES (Latin Square) ",34,"SuicidalRescue","crane","Suicidal_Rescue_Crane","Yes","Yes","yes","yes","yes","Yes","AI",4491.79999998212,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","SuicidalRescueCrane","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"2013",2013,14609707,"Main Stimuli F_YES (Latin Square) ",35,"SubstitutedConsent","crane","Substituted_Consent_Crane","Yes","No","yes","yes","no","No","AI",1371.20000000001,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","SubstitutedConsentCrane","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2014",2014,14609707,"Main Stimuli F_YES (Latin Square) ",36,"SubstitutedConsent2","crane","Substituted_Consent_Crane","Yes","No","yes","yes","no","No","AI",1133.99999999403,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","SubstitutedConsentCrane","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2015",2015,14609707,"Main Stimuli F_YES (Latin Square) ",37,"footbridge","trolley","Footbridge_Trolley","Yes","No","yes","yes","no","No","AI",1638.20000000001,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","footbridge","Footbridge","Yes","Yes","Yes","No","No","No"
"2016",2016,14609707,"Main Stimuli F_YES (Latin Square) ",38,"FootbridgePHA&O","trolley","Footbridge_PHA_PHO_Trolley","Yes","No","yes","yes","no","No","Human",2326.39999999403,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","FootbridgePHA&O","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"2017",2017,14609707,"Main Stimuli F_YES (Latin Square) ",39,"ExpensiveRescue","trolley","Expensive_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","AI",593.399999999994,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","ExpensiveRescue","Expensive_Rescue","No","No","No","No","No","Yes"
"2018",2018,14609707,"Main Stimuli F_YES (Latin Square) ",40,"disproportionate death","crane","Disproportionate_Death_Crane","Yes","No","no","no","yes","No","AI",2311.19999997615,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","disproportionate deathCrane","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"2019",2019,14609707,"Main Stimuli F_YES (Latin Square) ",41,"Unprohibted_BetterAlternative_Equipment_Intended_","trolley","Unprohibited_Better_Alternative_Equipment_Intended_Trolley","No","No","no","yes","no","Yes","Human",560.09999999404,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibted_BetterAlternative_Equipment_Intended_Trolley","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"2020",2020,14609707,"Main Stimuli F_YES (Latin Square) ",42,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Crane","No","No","no","no","no","Yes","Human",1715.59999997617,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"2021",2021,14609707,"Main Stimuli F_YES (Latin Square) ",43,"expensive equipment","trolley","Expensive_Equipment_Trolley","Yes","No","no","no","yes","No","Human",315,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","expensive equipment","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"2022",2022,14609707,"Main Stimuli F_YES (Latin Square) ",44,"costless rescue","trolley","Costless_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","AI",454.5,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","costless rescue","Costless_Rescue","No","No","No","No","No","Yes"
"2023",2023,14609707,"Main Stimuli F_YES (Latin Square) ",45,"FootbridgePHA","crane","Footbridge_PHA_Crane","Yes","No","yes","yes","no","No","Human",3252.69999998214,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","FootbridgePHACrane","Footbridge_PHA","Yes","Yes","Yes","No","No","No"
"2024",2024,14609707,"Main Stimuli F_YES (Latin Square) ",46,"InefficientRisk","trolley","Inefficient_Risk_Trolley","No","No","yes","no","yes","Yes","AI",337.099999982107,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","InefficientRisk","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"2025",2025,14609707,"Main Stimuli F_YES (Latin Square) ",47,"loop","crane","Loop_Track_Crane","Yes","No","yes","yes","no","No","AI",2686.5,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","loopCrane","Loop_Track","Yes","Yes","Yes","No","No","No"
"2026",2026,14609707,"Main Stimuli F_YES (Latin Square) ",48,"SuicidalRescue","trolley","Suicidal_Rescue_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",801.099999988102,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","SuicidalRescue","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"2027",2027,14609707,"Main Stimuli F_YES (Latin Square) ",49,"OmissionFootbridgePHO","Crane","Omission_Footbridge_PHO_Crane","No","No","yes","no","yes","Yes","Human",3098.39999999403,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","OmissionFootbridgePHOCrane","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"2028",2028,14609707,"Main Stimuli F_YES (Latin Square) ",50,"EfficientRisk","crane","Efficient_Risk_Crane","No","Yes","yes","yes","yes","Yes","Human",865.99999998213,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","EfficientRiskCrane","Efficient_Risk","No","No","No","No","No","Yes"
"2029",2029,14609707,"Main Stimuli F_YES (Latin Square) ",51,"ExpensiveCollapse","crane","Expensive_Collapse_Crane","No","Yes","yes","yes","yes","Yes","AI",2435.19999999402,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","ExpensiveCollapseCrane","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"2030",2030,14609707,"Main Stimuli F_YES (Latin Square) ",52,"HypotheticalConsent","trolley","Hypothetical_Consent_Trolley","No","No","yes","yes","no","Yes","Human",3076.49999999406,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","HypotheticalConsent","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"2031",2031,14609707,"Main Stimuli F_YES (Latin Square) ",53,"Footbridge_Equipment_Save_","crane","Footbridge_Equipment_Save_Crane","Yes","No","yes","no","yes","No","AI",1129.29999998806,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Footbridge_Equipment_Save_Crane","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"2032",2032,14609707,"Main Stimuli F_YES (Latin Square) ",54,"man-in-front","crane","Man_in_Front_Crane","Yes","Yes","yes","yes","yes","Yes","Human",2498.29999999405,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","man-in-frontCrane","Man_in_Front","Yes","No","No","No","No","Yes"
"2033",2033,14609707,"Main Stimuli F_YES (Latin Square) ",55,"BystanderPHO","trolley","Bystander_PHO_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",3612.99999999406,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","BystanderPHO","Bystander_PHO","Yes","No","No","No","No","Yes"
"2034",2034,14609707,"Main Stimuli F_YES (Latin Square) ",56,"BetterAlternative_DisproportionateCost_","crane","Better_Alternative_Disproportionate_Cost_Crane","Yes","No","no","no","yes","No","Human",1245.79999999999,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","BetterAlternative_DisproportionateCost_Crane","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"2035",2035,14609707,"Main Stimuli F_YES (Latin Square) ",57,"better alternative","trolley","Better_Alternative_Trolley","Yes","No","no","yes","yes","No","Human",731.200000000012,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","better alternative","Better_Alternative","Yes","Yes","No","Yes","No","No"
"2036",2036,14609707,"Main Stimuli F_YES (Latin Square) ",58,"costless rescue","crane","Costless_Rescue_Crane","No","Yes","yes","yes","yes","Yes","AI",311.899999982095,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","costless rescueCrane","Costless_Rescue","No","No","No","No","No","Yes"
"2037",2037,14609707,"Main Stimuli F_YES (Latin Square) ",59,"InexpensiveRescue","trolley","Inexpensive_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","Human",492.299999982119,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","InexpensiveRescue","Inexpensive_Rescue","No","No","No","No","No","Yes"
"2038",2038,14609707,"Main Stimuli F_YES (Latin Square) ",60,"OmissionFootbridgePHO","trolley","Omission_Footbridge_PHO_Trolley","No","No","yes","no","yes","Yes","Human",6909.59999999992,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","OmissionFootbridgePHOTrolley","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"2039",2039,14609707,"Main Stimuli F_YES (Latin Square) ",61,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Trolley","No","No","no","no","no","Yes","Human",359.199999988079,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"2040",2040,14609707,"Main Stimuli F_YES (Latin Square) ",62,"HypotheticalConsent","crane","Hypothetical_Consent_Crane","No","No","yes","yes","no","Yes","Human",320.599999988102,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","HypotheticalConsentCrane","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"2041",2041,14609707,"Main Stimuli F_YES (Latin Square) ",63,"man-in-front","trolley","Man_in_Front_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",1945.39999998809,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","man-in-front","Man_in_Front","Yes","No","No","No","No","Yes"
"2042",2042,14609707,"Main Stimuli F_YES (Latin Square) ",64,"InefficientRisk","crane","Inefficient_Risk_Crane","No","No","yes","no","yes","Yes","AI",2752.49999998213,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","InefficientRiskCrane","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"2043",2043,14609707,"Main Stimuli F_YES (Latin Square) ",65,"collapse bridge","trolley","Collapse_Bridge_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",6051.59999999998,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","collapse bridge","Collapse_Bridge","Yes","No","No","No","No","Yes"
"2044",2044,14609707,"Main Stimuli F_YES (Latin Square) ",66,"OmissionBystanderPHO","Crane","Omission_Bystander_PHO_Crane","No","No","yes","no","yes","Yes","AI",929.799999994051,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","OmissionBystanderPHOCrane","Omission_Bystander_PHO","Yes","Yes","Yes","Yes","Yes","No"
"2045",2045,14609707,"Main Stimuli F_YES (Latin Square) ",67,"Footbridge_Equipment_Save_","trolley","Footbridge_Equipment_Save_Trolley","Yes","No","yes","no","yes","No","AI",587.299999999988,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Footbridge_Equipment_Save_Trolley","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"2046",2046,14609707,"Main Stimuli F_YES (Latin Square) ",68,"InexpensiveRescue","crane","Inexpensive_Rescue_Crane","No","Yes","yes","yes","yes","Yes","Human",369.599999999977,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","InexpensiveRescueCrane","Inexpensive_Rescue","No","No","No","No","No","Yes"
"2047",2047,14609707,"Main Stimuli F_YES (Latin Square) ",69,"drop man","crane","Drop_Man_Crane","Yes","No","yes","yes","no","No","Human",651.299999988056,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","drop manCrane","Drop_Man","Yes","Yes","Yes","No","No","No"
"2048",2048,14609707,"Main Stimuli F_YES (Latin Square) ",70,"BystanderPHO","crane","Bystander_PHO_Crane","Yes","Yes","yes","yes","yes","Yes","Human",1392.90000000002,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","BystanderPHOCrane","Bystander_PHO","Yes","No","No","No","No","Yes"
"2049",2049,14609707,"Main Stimuli F_YES (Latin Square) ",71,"Unprohibted_BetterAlternative_Equipment_Intended_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Crane","No","No","no","yes","no","Yes","Human",891.299999976181,"1","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","Unprohibted_BetterAlternative_Equipment_Intended_Crane","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"2050",2050,14609707,"Main Stimuli F_YES (Latin Square) ",72,"BetterAlternative_DisproportionateCost_","trolley","Better_Alternative_Disproportionate_Cost_Trolley","Yes","No","no","no","yes","No","Human",771.899999999965,"0","F_YES","Woman",1,36,"Canada","","","Caribbean or Caribbean British","","","","","Black",FALSE,"Caribbean or Caribbean British","Caribbean or Caribbean British","BetterAlternative_DisproportionateCost_Trolley","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"2051",2051,14609712,"Main Stimuli F_YES (Latin Square) ",1,"ExpensiveRescue","crane","Expensive_Rescue_Crane","No","Yes","yes","yes","yes","Yes","AI",1491.9,"1","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","ExpensiveRescueCrane","Expensive_Rescue","No","No","No","No","No","Yes"
"2052",2052,14609712,"Main Stimuli F_YES (Latin Square) ",2,"Unprohibted_BetterAlternative_Equipment_Intended_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Crane","No","No","no","yes","no","Yes","Human",1907.39999999851,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","Unprohibted_BetterAlternative_Equipment_Intended_Crane","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"2053",2053,14609712,"Main Stimuli F_YES (Latin Square) ",3,"InefficientRisk","trolley","Inefficient_Risk_Trolley","No","No","yes","no","yes","Yes","AI",1213.60000000074,"1","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","InefficientRisk","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"2054",2054,14609712,"Main Stimuli F_YES (Latin Square) ",4,"intentional homicide","crane","Intentional_Homicide_Crane","Yes","No","yes","yes","no","No","Human",665.000000000746,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","intentional homicideCrane","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"2055",2055,14609712,"Main Stimuli F_YES (Latin Square) ",5,"expensive equipment","crane","Expensive_Equipment_Crane","Yes","No","no","no","yes","No","Human",447.800000000745,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","expensive equipmentCrane","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"2056",2056,14609712,"Main Stimuli F_YES (Latin Square) ",6,"bystander","crane","Bystander_Crane","Yes","Yes","yes","yes","yes","Yes","Human",1315.9,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","bystanderCrane","Bystander","Yes","No","No","No","No","Yes"
"2057",2057,14609712,"Main Stimuli F_YES (Latin Square) ",7,"drop man","crane","Drop_Man_Crane","Yes","No","yes","yes","no","No","Human",1084.79999999776,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","drop manCrane","Drop_Man","Yes","Yes","Yes","No","No","No"
"2058",2058,14609712,"Main Stimuli F_YES (Latin Square) ",8,"HypotheticalConsent","crane","Hypothetical_Consent_Crane","No","No","yes","yes","no","Yes","Human",420.699999998513,"1","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","HypotheticalConsentCrane","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"2059",2059,14609712,"Main Stimuli F_YES (Latin Square) ",9,"SuicidalRescue","trolley","Suicidal_Rescue_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",1046.79999999925,"1","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","SuicidalRescue","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"2060",2060,14609712,"Main Stimuli F_YES (Latin Square) ",10,"BetterAlternative_DisproportionateCost_","trolley","Better_Alternative_Disproportionate_Cost_Trolley","Yes","No","no","no","yes","No","Human",376.299999997762,"0","F_YES","Man",2,27,"Poland",NA,NA,"","","Polish","","","White",FALSE,"Polish","Polish","BetterAlternative_DisproportionateCost_Trolley","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
