"","X","ID","TVideo_1","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","RT","MJ","keys","PBH_actual","PDE_actual","Agent","BA_actual","MC_actual","Intent_actual","MG_actual","Gender","Gender.quant","Age","Nationality","Country_of_residence","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_prefs","prefs_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"2103",2103,15132437,"SubstitutedConsent_2_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",87,"SubstitutedConsent","crane","Substituted_Consent_Crane",671.380000000005,"1","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SubstitutedConsent2Crane","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2104",2104,15132437,"ExpensiveRescue_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",88,"ExpensiveRescue","mine","Expensive_Rescue_Mine",1099.96000000002,"1","J_YES","Yes","Yes","Human","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveRescueMine","Expensive_Rescue","No","No","No","No","No","Yes"
"2105",2105,15132437,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",89,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","mine","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Mine",300.760000000009,"0","J_YES","No","No","Ai","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Mine","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"2106",2106,15132437,"Unprohibted_BetterAlternative_DisproportionateCost_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",90,"Unprohibted_BetterAlternative_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Disproportionate_Cost_Trolley",642.200000000012,"0","J_YES","No","No","Ai","No","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Disproportionate_Cost","No","Yes","No","Yes","Yes","Yes"
"2107",2107,15132437,"CollapseBridge_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",91,"collapse bridge","crane","Collapse_Bridge_Crane",326.159999999974,"0","J_YES","Yes","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","collapse bridgeCrane","Collapse_Bridge","Yes","No","No","No","No","Yes"
"2108",2108,15132437,"Footbridge_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",92,"footbridge","trolley","Footbridge_Trolley",356.20000000007,"0","J_YES","Yes","No","Human","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","footbridge","Footbridge","Yes","Yes","Yes","No","No","No"
"2109",2109,15132437,"Footbridge_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",93,"footbridge","crane","Footbridge_Crane",627.979999999981,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","footbridgeCrane","Footbridge","Yes","Yes","Yes","No","No","No"
"2110",2110,15132437,"ExpensiveCollapse_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",94,"ExpensiveCollapse","mine","Expensive_Collapse_Mine",324.060000000056,"1","J_YES","Yes","Yes","Human","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveCollapseMine","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"2111",2111,15132437,"Bystander_PHO_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",95,"BystanderPHO","mine","Bystander_PHO_Mine",341.400000000023,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHOMine","Bystander_PHO","Yes","No","No","No","No","Yes"
"2112",2112,15132437,"ExpensiveRescue_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",96,"ExpensiveRescue","truck","Expensive_Rescue_Truck",346.380000000005,"0","J_YES","Yes","Yes","Ai","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveRescueTruck","Expensive_Rescue","No","No","No","No","No","Yes"
"2113",2113,15132437,"Bystander_PHA&O_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",97,"BystanderPHA&O","truck","Bystander_PHA_PHO_Truck",406.859999999986,"0","J_YES","No","Yes","Ai","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHA&OTruck","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"2114",2114,15132437,"Unprohibted_BetterAlternative_Equipment_Intended_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",98,"Unprohibted_BetterAlternative_Equipment_Intended_","mine","Unprohibited_Better_Alternative_Equipment_Intended_Mine",438.660000000033,"1","J_YES","No","Yes","Human","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Equipment_Intended_Mine","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"2115",2115,15132437,"SubstitutedConsent_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",99,"SubstitutedConsent","mine","Substituted_Consent_Mine",360.660000000033,"1","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SubstitutedConsentMine","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2116",2116,15132437,"ExpensiveCollapse_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",100,"ExpensiveCollapse","trolley","Expensive_Collapse_Trolley",353.800000000047,"1","J_YES","No","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveCollapse","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"2117",2117,15132437,"SubstitutedConsent_2_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",101,"SubstitutedConsent","trolley","Substituted_Consent_Trolley",1026.57999999996,"1","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SubstitutedConsent2Trolley","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"2118",2118,15132437,"ImpliedConsent_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",102,"implied consent","trolley","Implied_Consent_Trolley",378.060000000056,"1","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","implied consent","Implied_Consent","Yes","No","No","No","No","Yes"
"2119",2119,15132437,"DropMan_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",103,"drop man","crane","Drop_Man_Crane",715.599999999977,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","drop manCrane","Drop_Man","Yes","Yes","Yes","No","No","No"
"2120",2120,15132437,"Unprohibted_BetterAlternative_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",104,"Unprohibted_BetterAlternative_","truck","Unprohibited_Better_Alternative_Truck",474.979999999981,"1","J_YES","Yes","Yes","Ai","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Truck","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"2121",2121,15132437,"ExpensiveCollapse_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",105,"ExpensiveCollapse","truck","Expensive_Collapse_Truck",377.280000000028,"1","J_YES","Yes","Yes","Ai","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveCollapseTruck","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"2122",2122,15132437,"ExpensiveEquipment_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",106,"expensive equipment","mine","Expensive_Equipment_Mine",326.420000000042,"0","J_YES","Yes","No","Human","No","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","expensive equipmentMine","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"2123",2123,15132437,"BetterAlternative_DisproportionateCost_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",107,"BetterAlternative_DisproportionateCost_","crane","Better_Alternative_Disproportionate_Cost_Crane",40.9000000000233,"0","J_YES","Yes","No","Human","No","No","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BetterAlternative_DisproportionateCost_Crane","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"2124",2124,15132437,"IntentionalHomicide_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",108,"intentional homicide","truck","Intentional_Homicide_Truck",618.979999999981,"0","J_YES","No","Yes","Ai","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideTruck","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"2125",2125,15132437,"HypotheticalConsent_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",109,"HypotheticalConsent","trolley","Hypothetical_Consent_Trolley",421.420000000042,"1","J_YES","No","No","Human","Yes","Yes","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","HypotheticalConsent","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"2126",2126,15132437,"CollapseBridge_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",110,"collapse bridge","truck","Collapse_Bridge_Truck",170.239999999991,"0","J_YES","Yes","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","collapse bridgeTruck","Collapse_Bridge","Yes","No","No","No","No","Yes"
"2127",2127,15132437,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",111,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","truck","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Truck",487.359999999986,"1","J_YES","No","No","Ai","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Truck","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"2128",2128,15132437,"DropEquipment_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",112,"DropEquipment","truck","Drop_Equipment_Truck",384.520000000019,"1","J_YES","No","Yes","Ai","No","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropEquipmentTruck","Drop_Equipment","No","No","No","No","No","Yes"
"2129",2129,15132437,"CollapseBridge_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",113,"collapse bridge","trolley","Collapse_Bridge_Trolley",761.959999999963,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","collapse bridge","Collapse_Bridge","Yes","No","No","No","No","Yes"
"2130",2130,15132437,"ExpensiveRescue_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",114,"ExpensiveRescue","trolley","Expensive_Rescue_Trolley",1276.40000000002,"1","J_YES","No","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveRescue","Expensive_Rescue","No","No","No","No","No","Yes"
"2131",2131,15132437,"Bystander_PHA&O_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",115,"BystanderPHA&O","crane","Bystander_PHA_PHO_Crane",385.599999999977,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHA&OCrane","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"2132",2132,15132437,"InexpensiveRescue_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",116,"InexpensiveRescue","trolley","Inexpensive_Rescue_Trolley",193.680000000051,"1","J_YES","No","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InexpensiveRescue","Inexpensive_Rescue","No","No","No","No","No","Yes"
"2133",2133,15132437,"Footbridge_PHA_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",117,"FootbridgePHA","crane","Footbridge_PHA_Crane",541.300000000047,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","FootbridgePHACrane","Footbridge_PHA","Yes","Yes","Yes","No","No","No"
"2134",2134,15132437,"InexpensiveRescue_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",118,"InexpensiveRescue","truck","Inexpensive_Rescue_Truck",425,"1","J_YES","Yes","Yes","Ai","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InexpensiveRescueTruck","Inexpensive_Rescue","No","No","No","No","No","Yes"
"2135",2135,15132437,"Unprohibted_BetterAlternative_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",119,"Unprohibted_BetterAlternative_","trolley","Unprohibited_Better_Alternative_Trolley",435.560000000056,"1","J_YES","No","No","Human","No","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Trolley","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"2136",2136,15132437,"LoopTrack_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",120,"loop","mine","Loop_Track_Mine",98.859999999986,"0","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","loopMine","Loop_Track","Yes","Yes","Yes","No","No","No"
"2137",2137,15132437,"LoopTrack_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",121,"loop","crane","Loop_Track_Crane",375.540000000037,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","loopCrane","Loop_Track","Yes","Yes","Yes","No","No","No"
"2138",2138,15132437,"ExpensiveEquipment_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",122,"expensive equipment","trolley","Expensive_Equipment_Trolley",1008.18000000005,"0","J_YES","Yes","No","Human","No","No","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","expensive equipment","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"2139",2139,15132437,"Unprohibted_BetterAlternative_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",123,"Unprohibted_BetterAlternative_","mine","Unprohibited_Better_Alternative_Mine",377.540000000037,"1","J_YES","Yes","Yes","Ai","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Mine","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"2140",2140,15132437,"EfficientRisk_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",124,"EfficientRisk","crane","Efficient_Risk_Crane",464.579999999958,"1","J_YES","No","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","EfficientRiskCrane","Efficient_Risk","No","No","No","No","No","Yes"
"2141",2141,15132437,"BetterAlternative_DisproportionateCost_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",125,"BetterAlternative_DisproportionateCost_","truck","Better_Alternative_Disproportionate_Cost_Truck",939.199999999953,"0","J_YES","Yes","No","Ai","No","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BetterAlternative_DisproportionateCost_Truck","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"2142",2142,15132437,"DropMan_Crane_Hang.mp4","Main Stimuli J_YES (Simplified Latin Square)",126,"drop man","Crane","Drop_Man_Crane",493.599999999977,"0","J_YES","Yes","No","Human","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropManCraneHang","Drop_Man","Yes","Yes","Yes","No","No","No"
"2143",2143,15132437,"Footbridge_PHA&O_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",127,"FootbridgePHA&O","truck","Footbridge_PHA_PHO_Truck",562.599999999977,"0","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","FootbridgePHA&OTruck","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"2144",2144,15132437,"Footbridge_Equipment_Save_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",128,"Footbridge_Equipment_Save_","truck","Footbridge_Equipment_Save_Truck",404.739999999991,"0","J_YES","Yes","No","Ai","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Footbridge_Equipment_Save_Truck","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"2145",2145,15132437,"IntentionalHomicide_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",129,"intentional homicide","crane","Intentional_Homicide_Crane",408.599999999977,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideCrane","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"2146",2146,15132437,"Bystander_PHO_Truck_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",130,"BystanderPHO","truck","Bystander_PHO_Truck",742.640000000014,"0","J_YES","Yes","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHOTruck","Bystander_PHO","Yes","No","No","No","No","Yes"
"2147",2147,15132437,"Omission_Footbridge_PHO_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",131,"OmissionFootbridgePHO","trolley","Omission_Footbridge_PHO_Trolley",488.400000000023,"0","J_YES","No","No","Human","Yes","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","OmissionFootbridgePHOTrolley","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"2148",2148,15132437,"DropEquipment_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",132,"DropEquipment","mine","Drop_Equipment_Mine",738.959999999963,"1","J_YES","No","Yes","Ai","No","No","Yes","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropEquipmentMine","Drop_Equipment","No","No","No","No","No","Yes"
"2149",2149,15132437,"IntentionalHomicide_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",133,"intentional homicide","mine","Intentional_Homicide_Mine",775.280000000028,"0","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideMine","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"2150",2150,15132437,"Unprohibted_BetterAlternative_Equipment_Intended_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",134,"Unprohibted_BetterAlternative_Equipment_Intended_","truck","Unprohibited_Better_Alternative_Equipment_Intended_Truck",644.180000000051,"1","J_YES","No","Yes","Human","No","No","No","Yes","Woman",1,52,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Equipment_Intended_Truck","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
